Trace-id,Total Requests,Count_200,Count_404,Count_5xx,Unique Paths,Avg Path Depth,Avg Path Length,Unique User Agents,Prop_200,Prop_404,Prop_5xx,Anomaly,DBSCAN_Cluster,Isolation_Anomaly
000e019eed38975c9dfcf320b2177584,1,1,0,0,1,4.0,49.0,1,1.0,0.0,0.0,1,20,-1
000fece05ac4d161aed67ca676e8968c,1,0,1,0,1,2.0,5.0,1,0.0,1.0,0.0,1,-1,1
00130dd7be09b8c0e2917e8d28062302,1,0,0,0,1,5.0,56.0,1,0.0,0.0,0.0,1,-1,1
0013cd6a0fc29ffedfee2edfce90ca8e,1,1,0,0,1,5.0,61.0,1,1.0,0.0,0.0,1,-1,1
0014c4a416c4bdec6872eb19c2370cec,1,1,0,0,1,5.0,56.0,1,1.0,0.0,0.0,1,-1,1
001a0bd885da63d0b387d1f56606c461,1,1,0,0,1,5.0,63.0,1,1.0,0.0,0.0,1,-1,1
001afae5cd70490c621e2fb79b9fb7d2,1,0,0,0,1,3.0,14.0,1,0.0,0.0,0.0,1,-1,1
001cfbea220d91eabb40282e64105114,1,0,0,0,1,5.0,67.0,1,0.0,0.0,0.0,1,-1,1
001e82fd8eb4f4e350f7302d4d391495,1,1,0,0,1,5.0,64.0,1,1.0,0.0,0.0,1,-1,1
0025d0911478f1aa03947060109f6d50,1,0,0,0,1,5.0,63.0,1,0.0,0.0,0.0,1,-1,1
00284f903e16cc9e5667e28e62be8909,1,0,0,0,1,4.0,49.0,1,0.0,0.0,0.0,1,41,-1
002a552fad2d886153bd8e6f48f1b383,3,1,1,0,3,4.0,35.0,1,0.3333333333333333,0.3333333333333333,0.0,1,-1,1
002a85f20492b8e0e0cad9a758e0df42,1,0,0,0,1,3.0,20.0,1,0.0,0.0,0.0,1,-1,1
002aee1c0bfc99d85c082927cb41bd53,1,0,0,0,1,5.0,61.0,1,0.0,0.0,0.0,1,-1,1
002cc831328521aa7bccf7a62ef7ffb8,1,1,0,0,1,4.0,53.0,1,1.0,0.0,0.0,1,-1,1
0031e8178e93db1962950021aa5f0f8b,1,0,0,0,1,3.0,16.0,1,0.0,0.0,0.0,1,-1,1
00348f5924abc3530d04bd84b27aa3bb,1,1,0,0,1,6.0,66.0,1,1.0,0.0,0.0,1,-1,1
0039e777c70717c8c58748ff1258d326,1,0,1,0,1,5.0,67.0,1,0.0,1.0,0.0,1,-1,1
00402ff44a3b2cb46aa8d92fe9293d1b,1,0,0,0,1,3.0,18.0,1,0.0,0.0,0.0,1,-1,1
0048b4d4eedbab31608427286373da28,1,0,0,0,1,4.0,50.0,1,0.0,0.0,0.0,1,-1,1
00500bed3413d628aee0d9f9b2b102d0,1,0,0,0,1,4.0,18.0,1,0.0,0.0,0.0,1,-1,1
0056b2ce2622943d45f76dc6dcd7f2eb,1,1,0,0,1,4.0,49.0,1,1.0,0.0,0.0,1,-1,1
00601608ff3dcf8f3b614c703caf1278,2,1,0,1,1,2.0,12.0,1,0.5,0.0,0.5,1,-1,1
00618caa3a05a589f3485b51313a9a4c,1,0,0,0,1,4.0,58.0,1,0.0,0.0,0.0,1,-1,1
00670e849cc62f152d7111e43c2d131a,1,0,0,0,1,4.0,18.0,1,0.0,0.0,0.0,1,-1,1
0069b2d7c99fd4701f6026492e3a3fbb,1,1,0,0,1,4.0,49.0,1,1.0,0.0,0.0,1,-1,1
0080069e7f6710351d926710036b802b,1,0,0,0,1,4.0,18.0,1,0.0,0.0,0.0,1,-1,1
0086f1f898ebe7204d802e726cb57705,1,1,0,0,1,5.0,67.0,1,1.0,0.0,0.0,1,-1,1
009331173c4ec4300a05d6e9a0338ee8,1,1,0,0,1,2.0,12.0,1,1.0,0.0,0.0,1,209,-1
009a9f668954fd252358db084412d3b3,1,0,1,0,1,5.0,67.0,1,0.0,1.0,0.0,1,-1,1
00a21ba3a12d0dfde6a604c9cdbc96f9,1,0,0,0,1,4.0,18.0,1,0.0,0.0,0.0,1,-1,1
